4112, Q2RRO, tub & shower, trees/culvert/road, 576, N
4113, Q2RRO, tub & shower, trees/culvert/road, 576, N
4114, Q2RRO, tub & shower, trees/culvert/road, 576, N
4115, K1RRO, tub & shower, trees/culvert/road, 464, N
4116, K1SRO, tub & shower, bushes/back road/trees/wall, 550, 4117
4117, Q2SRO, tub & shower, bushes/back road/trees/wall, 560, 4116
4118, K1SRO, tub & shower, bushes/back road/trees/wall, 573.5, N
4119, K1SRO, tub & shower, bushes/back road/trees/wall, 573.5, N
4120, Q2SRO, tub & shower, bushes/back road/trees/wall, 573.5, N
4121, Q2SRO, tub & shower, bushes/back road/trees/wall, 573.5, N
4126, Q2SRO, tub & shower,bushes/back road/trees/wall, 464, N
4127, K1SRO, tub & shower, bushes/back road/trees/wall, 464, N
4128, Q2RRC, tub with grab bars on the wall,bushes/back road/trees/wall, 464, N
4131, Q2SRO, tub & shower, tree/Ocatilla Wing, 464, N
4132, K1SRO, tub & shower, tree/Ocatilla Wing, 464, N
4133, Q2SRO, tub & shower, tree/Ocatilla Wing, 464, N
4134, K1SRO, tub & shower, tree/Ocatilla Wing, 464, 4135
4135, K1RRO1, tub & shower, Ocatilla Wing/ cottages, 1065.5 (Living:769.5/Bedrm:296), 4134
4136, Q2RRC, tub with grab bars on the wall, trees/cottage, 448, N
4137, Q2SRO, tub & shower, cottage/wall, 464, N
4138, K1SRO, tub & shower, Cottage/Wall/fountain, 464, N
4139, Q2SRO, tub & shower, Garden/fountain, 696, N
4200, K1SRO, tub & shower, cottages/partial garden/trees, 435, N
4201, Q2SRO, tub & shower, cottages/wall/trees, 464, N
4202, Q2SRO, tub & shower, cottages/wall/trees, 464, 4203
4203, Q2SRO, tub & shower, cottages/wall/trees, 464, 4202
4204, K1SRO, tub & shower, cottages/wall/trees, 464, N
4205, K1SRO, tub & shower, cottages/cotage court/trees, 464, N
4206, Q2SRO, tub & shower, cottages/cotage court/trees, 464, N
4207, Q2SRO, tub & shower, cottages roof/trees, 464, N
4208, K1SRO, tub & shower, trees/cottage roof, 434, 4209
4209, K1SRO, tub & shower, trees/cottage roof, 560, 4208
4210, Q2SRO, tub & shower, trees/culvert/road, 472, N
4211, K1SRO, tub & shower, trees/culvert/road/condos, 472, N
4212, K1SRO, tub & shower, trees/culvert/road/condos, 457.25, N
4213, K1SRO, tub & shower, trees/culvert/road/condos, 457.25, N
4214, Q2SRO, tub & shower, trees/culvert/road/obs. mountain, 457.25, N
4215, Q2SRO, tub & shower, trees/culvert/road/obs. mountain, 464, N
4216, K1SRO, tub & shower, trees/wall/Obs. Mountain/back road, 560, 4217
4217, K1SRO, tub & shower, trees/wall/Obs. Mountain/back road, 457.25, 4216
4218, Q2SRO, tub & shower, trees/wall/Obs. Mountain/back road, 472, N
4219, Q2SRO, tub & shower, trees/wall/Obs. Mountain/back road, 472, N
4220, Q2SRO, tub & shower, trees/wall/Obs. Mountain/back road, 472, N
4221, K1SRO, tub & shower, trees/wall/Obs. Mountain/back road, 457.25, N
4222, K1SRO, tub & shower, trees/wall/Obs. Mountain/back road, 516, 4223
4223, K1SRO, tub & shower, trees/wall/Obs. Mountain/back road, 457.25, 4222
4224, Q2SRO, tub & shower, trees/wall/Obs. Mountain/back road, 457.25, 4225
4225, K1SRO, tub & shower, trees/wall/Obs. Mountain/back road, 464, 4224
4226, K1SRO, tub & shower, trees/wall/Obs. Mountain/back road, 464, N
4227, Q2SRO, tub & shower, trees/wall/Obs. Mountain/back road, 449.5, N
4228, K1RRC, tub with grab bars on the wall,trees/wall/Obs. Mountain/back road, 472, 4229
4229, K1RRO1, tub & shower, trees/wall/Obs. Mountain/back road, 768 (Living:512/Bedrm:256), 4228
4230, K1SRO, tub & shower, trees/condos/Ocatilla Wing, 432, N
4231, Q2SRO, tub & shower, trees/Ocatilla Wing, 432, N
4232, K1SRO, tub & shower, trees/Ocatilla Wing, 449.5, N
4233, Q2SRO, tub & shower, trees/Ocatilla Wing, 449.5, N
4234, K1SRO, tub & shower, Ocatilla Wing, 434, 4235
4235, K1RRO1, tub & shower, Ocatilla Wing/cottage roof,1106.5 (Living:812/Bedrm: 294.5), 4234
4236, K1RRC, tub with grab bars on the wall, trees/cottage roof, 448, N
4237, Q2SRO, tub & shower, trees/cottage roof,449.5, 4238
4238, Q2SRO, tub & shower, trees/cottage roof, 449.5, 4237
4239, Q2SRO, tub & shower, tree/nice garden/fountain, 472, N
4240, K1SRO, tub & shower, nice garden/fountain, 457.25, N
4241, K1J, tub & shower, excellent signature view, 812, N
4300, K1ZRP1, 1.5 bathroom with tub & shower, excellent signature view, 1359 (Living:1087.5/Bedrm:272), 4301
4301, K1SRO, tub & shower, trees/cottages/partial garden, 432, 4300
4302, K1SRO, tub & shower, trees/cottages/partial garden, 432, N
4304, Q2SRO, tub & shower, trees/cottages/partial garden, 418.5, N
4305, K1SRO, tub & shower, trees/cottages/partial garden, 432, N
4306, K1SRO, tub & shower, trees/cottage roof/cottage court, 432, N
4307, Q2SRO, tub & shower, trees/cottage roof/cottage court, 432, N
4308, Q2SRO, tub & shower, trees/cottage roof/cottage court, 403.2, 4209
4309, K1SRO, tub & shower, trees/ cottage roof/trees/culvert, 560, 4308
4310, K1SRO, tub & shower, trees/condos/obs. mountain to the left, 432, N
4311, K1SRO, tub & shower, trees/condos/obs. mountain to the left, 432, N
4312, K1SRO, tub & shower, trees/condos/obs. mountain to the left, 432, N
4313, Q2SRO, tub & shower, trees/condos/obs. mountain to the left, 418.5, N
4314, K1SRO, tub & shower, trees/condos/obs. mountain to the left, 432, N
4315, K1SRO, tub & shower, trees/condos/obs. mountain to the left, 432, N
4316, K1SRO, tub & shower, trees/condos/obs. mountain, 550, 4317
4317, Q2SRO, tub & shower, trees/condos/obs. mountain, 387.5, 4316
4318, Q2SRO, tub & shower, trees/condos/obs. mountain to the left, 432, N
4319, K1SRO, tub & shower, trees/condos/obs. mountain to the left, 418.5, N
4320, Q2SRO, tub & shower, trees/condos/obs. mountain, 432, N
4321, Q2SRO, tub & shower, nice mountain/condos, 432, N
4322, K1SRO, tub & shower, nice mountain/condos, 506.25, 4323
4323, K1SRO, tub & shower, nice mountain/condos, 459, 4322
4324, Q2SRO, tub & shower, nice mountain/condos, 418.5, N
4325, K1SRO, tub & shower, trees/obs. mountain/condos, 418.5, N
4326, Q2SRO, tub & shower, trees/obs. mountain/condos, 432, N
4327, Q2SRO, tub & shower, trees/obs. mountain/condos, 432, N
4328, Q2SRO, tub & shower, trees/obs. mountain/condos, 432, N
4329, K1RRO1, tub & shower, Ocatilla Wing/condos/obs. Mountain, 930 (Living:600/Bedrm:330), N
4331, Q2SRO, tub & shower, Ocatilla Wing/tree/obs. Mountain, 457.25, N
5100, Q1CRO,tub & shower,garden, 221, 5101
5101, K1CGO,shower,putting course/trees/obs.mountain, 360, N
5102, K1CGO,tub & shower,bushes/putting course, 410.75,N
5103, K1CGO,tub & shower,putting course/trees, 410.75, N
5104, Q1CGO,tub & shower,garden/Wrigley Lawn,221, 5105
5105, K1CRO,shower,Jacuzzi tub/trees/culvert, 388.5, 5104
5106, K1CGO,tub & shower,bushes/tree, 410.75, N
5107, K1CGO,tub & shower,bushes/tree, 410.75, N
5108, K1CRO,tub & shower,cottage court, 263.5, 5109
5109, K1CGO,shower,trees/bushes,410, 5108
5110, K1CGO,tub & shower,trees/bushes/culvert, 609.5, N
5111, Q2CGO,tub & shower,Cottage court, 596.25, N
5112, K1CRO,tub & shower,Cottage court,255.75,5113
